Restaurant Name,Location,Contact Number/s,Restaurant Type,Rating,Cuisines Available,Most Liked Dishes,Table Booking Facility?
Chullah Bhatti,Marathahalli,080 49653056,Casual Dining,4.0/5,"North Indian, Chinese","Masala Papad, Malai Kofta, Panneer Butter Masala, Fish, Vegetable Biryani, Paneer Tikka, Lassi",Yes
Broadway - The Gourmet Theatre,HSR,080 49653479,Casual Dining,4.2/5,"Japanese, North Indian, Italian, Korean, Mexican, Thai","Sushi, Cocktails, Mocktails, Bamboo Chicken Biryani, Coconut Soup, Pasta, Sea Food",Yes
Ajwa Thalassery Biryani,Sarjapur Road,+91 8043749355,Quick Bites,3.9/5,"Biryani, South Indian","Thalassery Biryani, Chicken Fry, Chicken Biryani",Yes
Punjabi Times,Bellandur,080 49653379,"Casual Dining, Bar",4.1/5,North Indian,"Papdi Chaat, Thandai, Chole Bhature, Lassi, Paan Ice Cream, Mutton Curry, Raita",Yes
Vandana Andhra and Multi Cuisine,Sarjapur Road,080 49652600,Casual Dining,4.1/5,"Andhra, Hyderabadi, Biryani, Chinese, North Indian","Chicken Guntur, Thali, Prawn Pepper Fry, Chicken Biryani, Gulab Jamun, Mutton Biryani, Halwa",Yes
Cafe Thulp,Bellandur,080 41129702,Cafe,4.0/5,"Cafe, Burger, Italian, Salad","Burgers, Fries, Beef Burger, Pasta, Salad, Mudpie, Falafel Burger",Yes
Tipsy Bull - The Bar Exchange,Bellandur,080 49653133,"Bar, Casual Dining",4.4/5,"North Indian, Chinese, Continental, Mexican","Falafel, Cocktails, Mocktails, Sea Food, Spring Roll, Mutton Pepper Fry, Pasta",Yes
Xtreme Sports Bar,Sarjapur Road,080 49653459,Pub,4.0/5,"Continental, Chinese, North Indian","Lunch Buffet, Boti Kebab, Beer, Potato Wedges, Gulab Jamun, Pizza, Club Sandwich",Yes
THE RIG,Sarjapur Road,080 49653470,"Microbrewery, Casual Dining",4.3/5,"Continental, Finger Food, Pizza","Bang Bang Chicken, Cocktails, Vegetable Biryani, Craft Beer, Stout, Cosmopolitan, Sandwich",Yes
Nayi Dilli by Anand Sweets,Sarjapur Road,080 41575757,Casual Dining,4.0/5,"North Indian, Chinese","Phirni, Butter Naan, Kadhai Paneer, Tandoori Roti, Paratha, Dal Makhani, Paneer Tikka",Yes
Punjabi Times,Bellandur,080 49653379,"Casual Dining, Bar",4.1/5,North Indian,"Papdi Chaat, Thandai, Chole Bhature, Lassi, Paan Ice Cream, Mutton Curry, Raita",Yes
Tipsy Bull - The Bar Exchange,Bellandur,080 49653133,"Bar, Casual Dining",4.4/5,"North Indian, Chinese, Continental, Mexican","Falafel, Cocktails, Mocktails, Sea Food, Spring Roll, Mutton Pepper Fry, Pasta",Yes
Glassy,Bellandur,080 49653500,Club,4.2/5,"North Indian, Chinese","Cocktails, Mocktails, Chicken Chatpata, Beer, Chilli Chicken, Fish Tikka, Masala Peanuts",Yes
Manchow,Bellandur,080 49652861,Casual Dining,3.8/5,"Chinese, Asian, Momos","Veg Manchow Soup, Garlic Butter Noodle, Chop Suey, Chicken Dim Sum",Yes
Cafe Thulp,Bellandur,080 41129702,Cafe,4.0/5,"Cafe, Burger, Italian, Salad","Burgers, Fries, Beef Burger, Pasta, Salad, Mudpie, Falafel Burger",Yes
The Black Pearl,Marathahalli,080 49653069,"Casual Dining, Bar",4.8/5,"North Indian, European, Mediterranean, BBQ","Dahipuri, Jal-jeera, Chicken Grill, Mutton Seekh Kabab, Rasmalai, Mutton Curry, Mutton Kebab",Yes
Byg Brewski Brewing Company,Sarjapur Road,+91 8039514766,Microbrewery,4.9/5,"Continental, North Indian, Italian, South Indian, Finger Food","Cocktails, Dahi Kebab, Rajma Chawal, Butter Chicken, Craft Beer, Chicken Dumplings, Teriyaki Fish",Yes
The Fisherman's Wharf,Sarjapur Road,080 49653108,"Casual Dining, Bar",4.4/5,"Seafood, Goan, North Indian, Continental, Asian","Sea Food, Caesar Salad, Jumbo Prawns, Cocktails, Mocktails, Goan Fish Curry, Curry Crab",Yes
THE RIG,Sarjapur Road,080 49653470,"Microbrewery, Casual Dining",4.3/5,"Continental, Finger Food, Pizza","Bang Bang Chicken, Cocktails, Vegetable Biryani, Craft Beer, Stout, Cosmopolitan, Sandwich",Yes
AB's - Absolute Barbecues,Sarjapur Road,040 45659915,Casual Dining,4.7/5,"European, Mediterranean, North Indian, BBQ","Fish, Salad, Paan Ice Cream, Mocktails, Chicken Curry, Phirni, Panneer Butter Masala",Yes
Vapour Brewpub and Diner,Sarjapur Road,080 49653047,"Microbrewery, Pub",4.6/5,"North Indian, Continental, Italian","Cheese Pasta, Cocktails, Stout, Bruschettas, Craft Beer, Pinacolada, Wheat Beer",Yes
The Hidden Home,Sarjapur Road,080 49653432,Casual Dining,4.3/5,"Asian, Chinese, Continental, North Indian, South Indian","Brownie Chocolate, Manchow Soup, Jalebi, Rabri, Mocktails, Beer, Tandoori Chicken",Yes
Xtreme Sports Bar,Sarjapur Road,080 49653459,Pub,4.0/5,"Continental, Chinese, North Indian","Lunch Buffet, Boti Kebab, Beer, Potato Wedges, Gulab Jamun, Pizza, Club Sandwich",Yes
Blue Terrain - Novotel,Marathahalli,080 49653418,Fine Dining,4.2/5,"Spanish, Italian, Mediterranean","Mocktails, Cocktails, Pizza, Burgers, Tandoori Salmon, Brownie, Tiramisu",Yes
The Square - Novotel,Marathahalli,080 49652905,Fine Dining,4.3/5,"Continental, North Indian, Japanese, Italian","Breakfast Buffet, Cocktails, Sunday Brunch, Noodles, Mocktails, Veg Sushi, Salads",Yes
Vandana Andhra and Multi Cuisine,Sarjapur Road,080 49652600,Casual Dining,4.1/5,"Andhra, Hyderabadi, Biryani, Chinese, North Indian","Chicken Guntur, Thali, Prawn Pepper Fry, Chicken Biryani, Gulab Jamun, Mutton Biryani, Halwa",Yes
Nayi Dilli by Anand Sweets,Sarjapur Road,080 41575757,Casual Dining,4.0/5,"North Indian, Chinese","Phirni, Butter Naan, Kadhai Paneer, Tandoori Roti, Paratha, Dal Makhani, Paneer Tikka",Yes
Ajwa Thalassery Biryani,Sarjapur Road,+91 8043749355,Quick Bites,3.9/5,"Biryani, South Indian","Thalassery Biryani, Chicken Fry, Chicken Biryani",Yes
Xtreme Sports Bar,Sarjapur Road,080 49653459,Pub,4.0/5,"Continental, Chinese, North Indian","Lunch Buffet, Boti Kebab, Beer, Potato Wedges, Gulab Jamun, Pizza, Club Sandwich",Yes
Tipsy Bull - The Bar Exchange,Bellandur,080 49653133,"Bar, Casual Dining",4.4/5,"North Indian, Chinese, Continental, Mexican","Falafel, Cocktails, Mocktails, Sea Food, Spring Roll, Mutton Pepper Fry, Pasta",Yes
Glassy,Bellandur,080 49653500,Club,4.2/5,"North Indian, Chinese","Cocktails, Mocktails, Chicken Chatpata, Beer, Chilli Chicken, Fish Tikka, Masala Peanuts",Yes
Byg Brewski Brewing Company,Sarjapur Road,+91 8039514766,Microbrewery,4.9/5,"Continental, North Indian, Italian, South Indian, Finger Food","Cocktails, Dahi Kebab, Rajma Chawal, Butter Chicken, Craft Beer, Chicken Dumplings, Teriyaki Fish",Yes
Tipsy Bull - The Bar Exchange,Bellandur,080 49653133,"Bar, Casual Dining",4.4/5,"North Indian, Chinese, Continental, Mexican","Falafel, Cocktails, Mocktails, Sea Food, Spring Roll, Mutton Pepper Fry, Pasta",Yes
Vapour Brewpub and Diner,Sarjapur Road,080 49653047,"Microbrewery, Pub",4.6/5,"North Indian, Continental, Italian","Cheese Pasta, Cocktails, Stout, Bruschettas, Craft Beer, Pinacolada, Wheat Beer",Yes
Punjabi Times,Bellandur,080 49653379,"Casual Dining, Bar",4.1/5,North Indian,"Papdi Chaat, Thandai, Chole Bhature, Lassi, Paan Ice Cream, Mutton Curry, Raita",Yes
The Black Pearl,Marathahalli,080 49653069,"Casual Dining, Bar",4.8/5,"North Indian, European, Mediterranean, BBQ","Dahipuri, Jal-jeera, Chicken Grill, Mutton Seekh Kabab, Rasmalai, Mutton Curry, Mutton Kebab",Yes
The Fisherman's Wharf,Sarjapur Road,080 49653108,"Casual Dining, Bar",4.4/5,"Seafood, Goan, North Indian, Continental, Asian","Sea Food, Caesar Salad, Jumbo Prawns, Cocktails, Mocktails, Goan Fish Curry, Curry Crab",Yes
Ebony,MG Road,080 41783344,Casual Dining,4.3/5,"North Indian, South Indian","Appam, Khao Suey, Rabri, Chicken Biryani, Kebab Platter, Prawn, Pad Thai",Yes
Parika Multicuisine Restaurant,Richmond Road,080 49652474,Casual Dining,3.8/5,"North Indian, Chinese, Mughlai","Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri",Yes
JW Kitchen - JW Marriott Bengaluru,Lavelle Road,080 49652886,Fine Dining,4.4/5,"North Indian, Continental, Italian","Pasta, Breakfast Buffet, Lasagne, Salads, Chocolate Cake, Chicken Soup, Seafood Salad",Yes
The Tao Terraces,MG Road,080 49653408,Casual Dining,4.0/5,"Thai, Japanese, Korean, Burmese, Chinese","Salads, Cocktails, Khao Suey, Jumbo Prawns, Veg Sushi, Espresso Martini, Tom Yum Soup",Yes
Mainland China,Church Street,080 49652555,"Casual Dining, Bar",4.5/5,"Chinese, Momos","Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos",Yes
Cubbon Pavilion - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.3/5,"European, Continental, Chinese, Thai","Cocktails, Breakfast Buffet, Croissants, Lassi, Salads, Caramel Cake, Waffles",Yes
The Spice Bazaar,Lavelle Road,080 49652116,"Casual Dining, Bar",4.2 /5,"North Indian, Mughlai","Brownie, Badam Halwa, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mocktails",Yes
The Market - The Ritz-Carlton,Residency Road,080 49148341,Fine Dining,4.3 /5,"North Indian, European, Thai","Pizza, Waffles, Pasta, Sushi, Roti, Salads, Fish",Yes
Season - Adarsh Hamilton,Richmond Road,080 43595713,Casual Dining,4.3 /5,"North Indian, Chinese, South Indian, Continental","Fish, Pepper Corn, Salads, Mutton Biryani, Lunch Buffet, Apple Pie, Dahi Vada",Yes
Cafe Mangii,Lavelle Road,+91 8022270098,Casual Dining,4.3/5,"Italian, Continental, Pizza","Pasta, Mocktails, Tiramisu, Sangria, Mousse, Minestrone Soup, Cajun Chicken",Yes
Ithaca - The Chancery Pavilion,Residency Road,+91 9902785566,Fine Dining,3.9/5,"North Indian, Italian, European, Continental","Salads, Sunday Brunch, Cocktails, Fish, Club Sandwich, Breakfast Buffet, Sushi",Yes
BLOW,Church Street,080 49653044,Cafe,4.2/5,"Cafe, Continental, American, Burger","Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe",Yes
Cafe Azzure,MG Road,080 49653400,Cafe,4.3/5,"Cafe, Continental, Italian, Burger","Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers",Yes
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,MG Road,080 22086644,"Casual Dining, Cafe",4.4/5,"American, Cafe, Continental","Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad",Yes
The Courtyard,Shanti Nagar,+91 7338677996,Cafe,3.9/5,"Cafe, Italian","Hot Chocolate, Sandwiches, Garden Pizza, Pasta, Cappuccino, Garlic Bread, Sunday Morning Breakfast",Yes
The Blackboard Bakery,Lavelle Road,+91 9986706451,"Cafe, Bakery",3.7/5,"Cafe, Bakery, Continental","Pancakes, Sandwich, Salad, Coffee, Burgers",Yes
eat.fit,Church Street,080 49652510,Quick Bites,4.1/5,"Healthy Food, North Indian, Biryani",Biryani,Yes
KKR FOODIES,St. Marks Road,+91 9620388962,Quick Bites,3.1/5,"Biryani, Chinese, Fast Food, North Indian",Biryani,Yes
Meghana Foods,Indiranagar,080 49652122,Casual Dining,4.2/5,"Biryani, Chinese, North Indian, Seafood","Chicken Boneless Biryani, Paneer Biryani, Andhra Style Biryani, Tandoori Chicken, Prawn Biryani, Raita, Hyderabadi Biryani",Yes
Soda Bottle Opener Wala,Lavelle Road,+91 9892841456,"Casual Dining, Irani Cafee",4.4/5,"Parsi, North Indian","Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Kulfi",Yes
Thai Chy,Indiranagar,080 45128670,Casual Dining,4.3/5,"Thai, Asian, Indonesian","Noodles, Watermelon Mint Mojito, Rendang Curry, Chicken Dim Sum, Laksa, Dimsum Platter, Spinach Corn Cheese",Yes
Cafe Azzure,MG Road,080 49653400,Cafe,4.3/5,"Cafe, Continental, Italian, Burger","Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers",Yes
Laughing Llama Gastropub,Brigade Road,+91 9535029732,"Bar, Casual Dining",4.3/5,"Finger Food, Continental, Pizza","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",Yes
Cita Pani,Indiranagar,080 49653502,Quick Bites,3.9/5,"Biryani, North Indian, Arabian","Peri Peri Chicken, Shawarma, Biryani, Rolls",Yes
Desi Deck,Brigade Road,+91 9962403374,"Casual Dining, Bar",3.9/5,"Mughlai, North Indian, Desserts","Balti Gosht, Cocktails, Dal Makhani",Yes
NoLimmits Lounge and Club,Brigade Road,080 49653274,Club,4.0/5,"Chinese, Continental, North Indian, Burger, Pizza","Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Pizza, Popcorn",Yes
20 Feet High,Church Street,080 49653093,"Casual Dining, Bar",4.0/5,"American, Continental, Steak, Salad","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak",Yes
Cafe Braqa,Indiranagar,+91 7204874361,Cafe,4.0/5,"Cafe, Italian, Continental, Beverages","Ginger Tea, Cup Cake, Sandwich, Pasta, Cappuccino, Pizza, Cheese Sticks",Yes
BLOW,Church Street,080 49653044,Cafe,4.2/5,"Cafe, Continental, American, Burger","Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe",Yes
Cobaja,Brigade Road,080 49652180,Casual Dining,4.3/5,"Seafood, South Indian, Bar Food, Mangalorean, Konkan","Badam Milk, Cocktails, Mutton Liver Fry, Paan Mojito, Veg Thali, Mocktails, Neer Dosa",Yes
The Grill House,Ulsoor,080 40977011,"Casual Dining, Bar",4.1/5,"American, Mexican, Italian, Steak","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff",Yes
Baba Da Dhaba,Brigade Road,+91 8880805555,Casual Dining,4.1/5,North Indian,"Butter Chicken, Dal Makhani, Chicken Curry, Tandoori Chicken, Mix Veg, Biryani, Naan",Yes
Ging - Royal Orchid Central,MG Road,+91 9902000063,"Bar, Casual Dining",4.3/5,Asian,"Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Yes
Mamma Mexicana,MG Road,+91 9886670606,Casual Dining,2.2/5,Mexican,"Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos",Yes
Chutney Chang,Church Street,080 49652638,Casual Dining,4.2/5,"North Indian, Chinese, BBQ","Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry",Yes
Red Onion,Shanti Nagar,+91 8867253669,Casual Dining,4.3/5,"Chinese, North Indian, Biryani, Kebab","Fish, Dumplings, Biryani, Paneer Tikka Masala, Manchow Soup, Chicken Wings, Chop Suey",Yes
Mainland China,Church Street,080 49652555,"Casual Dining, Bar",4.5/5,"Chinese, Momos","Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos",Yes
The Rice Bowl,Lavelle Road,080 49653099,"Casual Dining, Bar",4.3/5,"Chinese, Momos","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken",Yes
The Tao Terraces,MG Road,080 49653408,Casual Dining,4.0/5,"Thai, Japanese, Korean, Burmese, Chinese","Salads, Cocktails, Khao Suey, Jumbo Prawns, Veg Sushi, Espresso Martini, Tom Yum Soup",Yes
Oye Amritsar,Church Street,+91 9036025211,Casual Dining,4.1/5,North Indian,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan",Yes
Tandoor,MG Road,080 49652745,Fine Dining,3.9/5,North Indian,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",Yes
BabaYaga's,Indiranagar,080 49652754,"Bar, Casual Dining",4.1/5,"American, Finger Food","Cocktails, Masala Fries, Chicken Wings, Beer, Onion Rings, Pizza, Nachos",Yes
Ebony,MG Road,080 41783344,Casual Dining,4.3/5,"North Indian, South Indian","Appam, Khao Suey, Rabri, Chicken Biryani, Kebab Platter, Prawn, Pad Thai",Yes
ASEAN - On The Edge,MG Road,080 41783366,Casual Dining,4.4/5,"Asian, Thai","Cocktails, Khao Suey, Mocktails, Salad, Malacca Curry, Beer, Beef Pho",Yes
Parika Multicuisine Restaurant,Richmond Road,080 49652474,Casual Dining,3.8/5,"North Indian, Chinese, Mughlai","Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri",Yes
Fava,Lavelle Road,080 49652925,"Casual Dining, Bar",4.4/5,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria",Yes
The Bangalore Cafe,Shanti Nagar,080 49653314,Casual Dining,4.1/5,"Modern Indian, North Indian, Pizza, Continental, Beverages","Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha",Yes
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,MG Road,080 22086644,"Casual Dining, Cafe",4.4/5,"American, Cafe, Continental","Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad",Yes
Cafe Mangii,Lavelle Road,+91 8022270098,Casual Dining,4.3/5,"Italian, Continental, Pizza","Pasta, Mocktails, Tiramisu, Sangria, Mousse, Minestrone Soup, Cajun Chicken",Yes
The Bangalore Cafe,Shanti Nagar,080 49653314,Casual Dining,4.1/5,"Modern Indian, North Indian, Pizza, Continental, Beverages","Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha",Yes
Alchemy - The Chancery Pavilion,Residency Road,080 45128699,"Microbrewery, Casual Dining",4.3/5,Modern Indian,"Craft Beer, Stout, Cocktails, Chicken Wings, Brewed Beer, Mysore Pak, Cheesecake",Yes
Cobaja,Brigade Road,080 49652180,Casual Dining,4.3/5,"Seafood, South Indian, Bar Food, Mangalorean, Konkan","Badam Milk, Cocktails, Mutton Liver Fry, Paan Mojito, Veg Thali, Mocktails, Neer Dosa",Yes
Hae Kum Gang,Brigade Road,080 49652616,Casual Dining,4.4/5,"Korean, Chinese, Japanese","Sushi, Kimchi, Pork Sizzler, Chicken Donburi, Shrimp Donburi, Crab Roll, Bulgogi",Yes
ShakesBierre,Brigade Road,080 49653493,"Microbrewery, Casual Dining",4.4/5,"Asian, Continental, European, North Indian","Cocktails, Mocktails, Pizza, Sweet Yogurt, Nachos, Karela Chaat, Burgers",Yes
NoLimmits Lounge and Club,Brigade Road,080 49653274,Club,4.0/5,"Chinese, Continental, North Indian, Burger, Pizza","Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Pizza, Popcorn",Yes
Laughing Llama Gastropub,Brigade Road,+91 9535029732,"Bar, Casual Dining",4.3/5,"Finger Food, Continental, Pizza","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",Yes
Baba Da Dhaba,Brigade Road,+91 8880805555,Casual Dining,4.1/5,North Indian,"Butter Chicken, Dal Makhani, Chicken Curry, Tandoori Chicken, Mix Veg, Biryani, Naan",Yes
Desi Deck,Brigade Road,+91 9962403374,"Casual Dining, Bar",3.9/5,"Mughlai, North Indian, Desserts","Balti Gosht, Cocktails, Dal Makhani",Yes
The 13th Floor,MG Road,080 41783355,Lounge,4.4/5,"Asian, North Indian, Thai","Cocktails, Lasagne, Martini, Mocktails, Mutton Pepper, Long Island Iced Tea, Mojito",Yes
Chutney Chang,Church Street,080 49652638,Casual Dining,4.2/5,"North Indian, Chinese, BBQ","Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry",Yes
Ebony,MG Road,080 41783344,Casual Dining,4.3/5,"North Indian, South Indian","Appam, Khao Suey, Rabri, Chicken Biryani, Kebab Platter, Prawn, Pad Thai",Yes
KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Lavelle Road,080 49652640,Fine Dining,4.4/5,"Asian, Japanese, Thai","Cocktails, Sushi, Salmon, Martini, Tempura Prawns, Chicken Gyoza, Ramen",Yes
JW Kitchen - JW Marriott Bengaluru,Lavelle Road,080 49652886,Fine Dining,4.4/5,"North Indian, Continental, Italian","Pasta, Breakfast Buffet, Lasagne, Salads, Chocolate Cake, Chicken Soup, Seafood Salad",Yes
Yauatcha,MG Road,+91 9222222800,Fine Dining,4.6/5,"Chinese, Asian, Cantonese, Tea","Dumplings, Noodles, Cocktails, Mocktails, Mango Mascarpone Gateau, Chocolate Hazelnut Mousse, Macaroon",Yes
The Tao Terraces,MG Road,080 49653408,Casual Dining,4.0/5,"Thai, Japanese, Korean, Burmese, Chinese","Salads, Cocktails, Khao Suey, Jumbo Prawns, Veg Sushi, Espresso Martini, Tom Yum Soup",Yes
Bangalore Brew Works,Residency Road,080 49653436,"Microbrewery, Lounge",4.2/5,"Continental, Italian","Spaghetti, Wheat Beer, Cocktails, Risotto, Nachos, Gourmet Pizza, Draught Beer",Yes
Fava,Lavelle Road,080 49652925,"Casual Dining, Bar",4.4/5,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria",Yes
Soda Bottle Opener Wala,Lavelle Road,+91 9892841456,"Casual Dining, Irani Cafee",4.4/5,"Parsi, North Indian","Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Kulfi",Yes
Cafe Azzure,MG Road,080 49653400,Cafe,4.3/5,"Cafe, Continental, Italian, Burger","Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers",Yes
The Bangalore Cafe,Shanti Nagar,080 49653314,Casual Dining,4.1/5,"Modern Indian, North Indian, Pizza, Continental, Beverages","Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha",Yes
Samarkand,Infantry Road,080 41113366,Casual Dining,4.1/5,"North Indian, Mughlai","Hyderabadi Biryani, Firni, Kulfi, Lassi, Mutton Biryani, Gosht Dum Biryani, Raan",Yes
Spice Terrace - JW Marriott,Lavelle Road,080 49652948,"Fine Dining, Microbrewery",4.3/5,"North Indian, Seafood","Chicken Tikka, Faluda, Raita, Tarkari Biryani, Butter Naan, Fish, Dal Makhani",Yes
Carnatic,Church Street,080 49652709,Casual Dining,4.2/5,"South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean","Thali, Andhra Chilli Chicken, Coconut Mousse, Raita, Kothu Paratha, Appam, Tender Coconut Payasam",Yes
Alchemy - The Chancery Pavilion,Residency Road,080 45128699,"Microbrewery, Casual Dining",4.3/5,Modern Indian,"Craft Beer, Stout, Cocktails, Chicken Wings, Brewed Beer, Mysore Pak, Cheesecake",Yes
1Q1,Infantry Road,080 48050101,"Casual Dining, Bar",4.3/5,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Salad",Yes
Tandoor,MG Road,080 49652745,Fine Dining,3.9/5,North Indian,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",Yes
Mainland China,Church Street,080 49652555,"Casual Dining, Bar",4.5/5,"Chinese, Momos","Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos",Yes
Sotally Tober,Residency Road,080 45128814,"Bar, Casual Dining",4.4 /5,"Asian, Burger, Chinese, Finger Food","Cocktails, Corn Fritters, Paneer Steak, Butter Chicken, Burgers, Chicken Steak, Chocolate Mousse",Yes
